trial,in_mask,out_mask,count_zero,prob,abs_bias,z,exceeds_threshold,timestamp
394,b344279aebcc9c94f2937df36db545a9,aa5c0739bffd42e9c65e4db8cda8ab69,24995,0.499900,0.000100,-0.045,0,2026-07-07T10:16:21
395,820421b373aae3cbd3c09ae52ec1d7a9,e67aea77832d2128c7afb6a03b64623f,24821,0.496420,0.003580,-1.601,0,2026-07-07T10:16:21
396,c62368ef677c9349a2bd8e084b8424b6,6c4e648a5ff1c892981c669d0efdd1f1,25074,0.501480,0.001480,+0.662,0,2026-07-07T10:16:22
397,74998721fa06a74993a51a8d4b05b59e,de649d94e2688a494dd754887a1add93,24963,0.499260,0.000740,-0.331,0,2026-07-07T10:16:22
398,c4990efb382d0eaf0ff917dc22c877c9,bf9569106fbb9878ceedc2d84ba83b13,25096,0.501920,0.001920,+0.859,0,2026-07-07T10:16:23
399,8fc3b3847d7e781f2e796266b3d7e1f6,7b1a2f80f1be0b02557da9b6a6d47806,24986,0.499720,0.000280,-0.125,0,2026-07-07T10:16:24
400,714214e3c89b09525f59981b32f9d9a9,bfdf44ce2985e8f08fb4b853e5325d92,24993,0.499860,0.000140,-0.063,0,2026-07-07T10:16:24
401,c6718ea62e57efd3a72eaa76479868b9,4c4d5ce76dd0a5028f50b801c7c8f372,25179,0.503580,0.003580,+1.601,0,2026-07-07T10:16:25
402,e8237f6db5abe5a40f4d1acb11289d7a,76a5c5ab248e5f82d5e99d604e016f45,25187,0.503740,0.003740,+1.673,0,2026-07-07T10:16:25
403,3bb8d6544fa09251d7e6390ba7cab816,43c93049f89ccf9d388a685d0ed88355,25102,0.502040,0.002040,+0.912,0,2026-07-07T10:16:26
404,80eb5de2233c76e4c542eec65cc3c5e4,c5b02156f0ee0861542128b580eb7ab8,24924,0.498480,0.001520,-0.680,0,2026-07-07T10:16:27
405,0641923c3c7dcba007eddbd31b4a6e6c,2a66c9f5f5497f92cec6c2ecd7677cd8,24831,0.496620,0.003380,-1.512,0,2026-07-07T10:16:27
406,e5f543484b4f7b1631c4691488095738,a096ad6842b4cc511c2de259182b3feb,25068,0.501360,0.001360,+0.608,0,2026-07-07T10:16:28
407,4c424be6a13146bf1d8b5ba6f459323c,09edc8830b1833c5d497eefd79ad2811,24941,0.498820,0.001180,-0.528,0,2026-07-07T10:16:28
408,78ca84c0c99821f5744151a7e30f6d95,2d6c7af32c2e7a8c752a14af6a45d737,24830,0.496600,0.003400,-1.521,0,2026-07-07T10:16:29
409,091ffc2371fc107fadc8ac9412d96c98,5623649f25c2f7a1882ec69df83cd2c6,24945,0.498900,0.001100,-0.492,0,2026-07-07T10:16:29
410,9d283d05a372d7268e425db3db65191a,ddbdf651236d977ec699b7365ac03198,25032,0.500640,0.000640,+0.286,0,2026-07-07T10:16:30
411,64f6522a99f4524c65dcbf8829e5cf4f,3cf4a045daedd891948003248eede796,24835,0.496700,0.003300,-1.476,0,2026-07-07T10:16:30
412,1edda1c28da062fbde40e71c75becd9b,20ef4edcb128381bc0d584f045c8f47e,24931,0.498620,0.001380,-0.617,0,2026-07-07T10:16:31
413,8fa2cb5df5eb880913e934ff70754bcf,513d39b41e6773f72349762c975404d5,25041,0.500820,0.000820,+0.367,0,2026-07-07T10:16:31
414,34ac865fb74274e5826a94db3a7ee97b,8b3882d4138cc6f7d7f456ecbef75058,24898,0.497960,0.002040,-0.912,0,2026-07-07T10:16:32
415,35586d462e40073b97c986b713308a5d,b696cdf241c076169bc8e56704a06dad,25112,0.502240,0.002240,+1.002,0,2026-07-07T10:16:33
416,94153c9129a9e019b07774011022f1c1,53ff4d309bd641a412ab860fa669cf87,24995,0.499900,0.000100,-0.045,0,2026-07-07T10:16:33
417,8757e952093760ff0d56f054dbc97291,4d91c9aaecff11cc52ddd96f2443a5ed,25101,0.502020,0.002020,+0.903,0,2026-07-07T10:16:34
418,4b5c6f2fb2fd36760f844f2f10d5c963,a96f2c041acfbc689b83f52ba49c5eba,24998,0.499960,0.000040,-0.018,0,2026-07-07T10:16:34
